ImageNumber,Intensity_LowerQuartileIntensity_MIRO160mer,Intensity_LowerQuartileIntensity_Subtract_perinucleus_Miro160mer,Intensity_MADIntensity_MIRO160mer,Intensity_MADIntensity_Subtract_perinucleus_Miro160mer,Intensity_MaxIntensity_MIRO160mer,Intensity_MaxIntensity_Subtract_perinucleus_Miro160mer,Intensity_MeanIntensity_MIRO160mer,Intensity_MeanIntensity_Subtract_perinucleus_Miro160mer,Intensity_MedianIntensity_MIRO160mer,Intensity_MedianIntensity_Subtract_perinucleus_Miro160mer,Intensity_MinIntensity_MIRO160mer,Intensity_MinIntensity_Subtract_perinucleus_Miro160mer,Intensity_PercentMaximal_MIRO160mer,Intensity_PercentMaximal_Subtract_perinucleus_Miro160mer,Intensity_StdIntensity_MIRO160mer,Intensity_StdIntensity_Subtract_perinucleus_Miro160mer,Intensity_TotalArea_MIRO160mer,Intensity_TotalArea_Subtract_perinucleus_Miro160mer,Intensity_TotalIntensity_MIRO160mer,Intensity_TotalIntensity_Subtract_perinucleus_Miro160mer,Intensity_UpperQuartileIntensity_MIRO160mer,Intensity_UpperQuartileIntensity_Subtract_perinucleus_Miro160mer
1,0.0018768596928566694,0.0018616006709635258,0.00015259022,0.00012207218,0.1597467,0.1597467,0.002174502050419718,0.002124828738702914,0.0019989319,0.0019531548,0.0015259022,0.0015259022,1.8903648857917152e-05,3.017384054754658e-05,0.0007993359,0.00074477855,5289984,3314129,11503.081,7041.9565,0.002243076218292117,0.002151522086933255
2,0.0018310826271772385,0.0018158236052840948,9.155413e-05,7.629511e-05,0.109300375,0.07129015,0.0019945193758501914,0.0019365223974442325,0.0019073777,0.0018921187,0.0014801251,0.0014801251,1.8903648857917152e-05,2.2795742849431383e-05,0.0004338211,0.0003317762,5289984,4386784,10550.976,8495.105,0.0020141908898949623,0.0019684138242155313
3,0.0018310826271772385,0.0018158236052840948,7.629511e-05,7.629511e-05,0.19736019,0.15109484,0.0019911817003487155,0.001941065790675424,0.0018921187,0.0018921187,0.0014801251,0.0014801251,1.8903648857917152e-05,2.1401809993874803e-05,0.0009088521,0.0008027139,5289984,4672502,10533.319,9069.634,0.0019989318680018187,0.0019684138242155313
4,0.0018310826271772385,0.0018310826271772385,9.155413e-05,7.629511e-05,0.21788357,0.21788357,0.0020349224177710176,0.001985240545212129,0.0019073777,0.0018921187,0.0014953841,0.0014953841,1.8903648857917152e-05,2.2911706759480463e-05,0.00076627336,0.0007455608,5289984,4364581,10764.707,8664.743,0.002029449911788106,0.001983672846108675
5,0.0018616006709635258,0.0018463416490703821,0.00012207218,9.155413e-05,0.09390402,0.09390402,0.0021198660746776362,0.0020531409741799253,0.0019531548,0.0019226368,0.0015259022,0.0015259022,1.8903648857917152e-05,2.624364706913574e-05,0.00083981175,0.0007499183,5289984,3810446,11214.058,7823.383,0.0021362630650401115,0.0020447089336812496
6,0.0018616006709635258,0.0018463416490703821,0.00012207218,9.155413e-05,0.27263296,0.09372091,0.0021106948512864122,0.002044999368043585,0.0019531548,0.0019226368,0.0014953841,0.0014953841,1.8903648857917152e-05,2.8222183087461674e-05,0.001012654,0.00072112755,5289984,3543312,11165.542,7246.071,0.0021362630650401115,0.0020599679555743933
7,0.0018463416490703821,0.0018310826271772385,0.00010681315,7.629511e-05,0.15152209,0.15152209,0.0020425252290460615,0.001973500318176433,0.0019226368,0.0018921187,0.0014953841,0.0014953841,1.8903648857917152e-05,2.4351596137544633e-05,0.00060535886,0.0005037446,5289984,4106507,10804.926,8104.193,0.0020599679555743933,0.0019989318680018187
8,0.0018463416490703821,0.0018310826271772385,0.00010681315,9.155413e-05,0.100068666,0.057450216,0.0020293395647557723,0.001970904497314797,0.0019378958,0.0019073777,0.0015106432,0.0015106432,1.8903648857917152e-05,2.561422265572871e-05,0.0004959722,0.00041774113,5289984,3904081,10735.174,7694.571,0.002075226977467537,0.0020141908898949623
9,0.0018463416490703821,0.0018310826271772385,9.155413e-05,7.629511e-05,0.1546807,0.06324865,0.0020356697026399323,0.0019731019151438193,0.0019226368,0.0019073777,0.0015106432,0.0015106432,1.8903648857917152e-05,2.3311561112306478e-05,0.0005771684,0.00043431102,5289984,4289717,10768.66,8464.049,0.0020447089336812496,0.0019989318680018187
10,0.0018616006709635258,0.0018463416490703821,0.00015259022,0.00010681315,0.11525139,0.08915847,0.0022455583558357644,0.0021416773600971923,0.0019836728,0.0019378958,0.0014801251,0.0014801251,1.8903648857917152e-05,2.4260462263700064e-05,0.00082979864,0.0006850222,5289984,4121933,11878.968,8827.851,0.002288853283971548,0.002121004043146968
