ImageNumber,Intensity_LowerQuartileIntensity_MIRO160mer,Intensity_LowerQuartileIntensity_Subtract_perinucleus_Miro160mer,Intensity_MADIntensity_MIRO160mer,Intensity_MADIntensity_Subtract_perinucleus_Miro160mer,Intensity_MaxIntensity_MIRO160mer,Intensity_MaxIntensity_Subtract_perinucleus_Miro160mer,Intensity_MeanIntensity_MIRO160mer,Intensity_MeanIntensity_Subtract_perinucleus_Miro160mer,Intensity_MedianIntensity_MIRO160mer,Intensity_MedianIntensity_Subtract_perinucleus_Miro160mer,Intensity_MinIntensity_MIRO160mer,Intensity_MinIntensity_Subtract_perinucleus_Miro160mer,Intensity_PercentMaximal_MIRO160mer,Intensity_PercentMaximal_Subtract_perinucleus_Miro160mer,Intensity_StdIntensity_MIRO160mer,Intensity_StdIntensity_Subtract_perinucleus_Miro160mer,Intensity_TotalArea_MIRO160mer,Intensity_TotalArea_Subtract_perinucleus_Miro160mer,Intensity_TotalIntensity_MIRO160mer,Intensity_TotalIntensity_Subtract_perinucleus_Miro160mer,Intensity_UpperQuartileIntensity_MIRO160mer,Intensity_UpperQuartileIntensity_Subtract_perinucleus_Miro160mer
1,0.0018768596928566694,0.0018768596928566694,0.00010681315,9.155413e-05,0.18757915,0.09303426,0.0021138894571798325,0.002061428619321867,0.0019684138,0.0019531548,0.0015259022,0.0015259022,1.8903648857917152e-05,2.381904575662509e-05,0.00090612925,0.0006713509,5289984,4198321,11182.441,8654.539,0.0021057450212538242,0.0020599679555743933
2,0.0018768596928566694,0.0018768596928566694,0.00010681315,9.155413e-05,0.10395972,0.10395972,0.0020805280244585805,0.00203820354803382,0.0019684138,0.0019531548,0.0015259022,0.0015259022,1.8903648857917152e-05,2.402321603597717e-05,0.0006287584,0.00052222365,5289984,4162640,11005.96,8484.308,0.0021057450212538242,0.0020599679555743933
3,0.0019531548023223877,0.0019226367585361004,0.00015259022,0.00015259022,0.11236744,0.11236744,0.002237164692688579,0.0022106702222797134,0.002075227,0.002044709,0.0015411612,0.0015411612,1.8903648857917152e-05,3.6393134653506426e-05,0.00076953793,0.00074028375,5289984,2747771,11834.565,6074.4155,0.0023041123058646917,0.0022583352401852608
4,0.0018768596928566694,0.0018616006709635258,9.155413e-05,7.629511e-05,0.16328679,0.16328679,0.0020661643896276436,0.0020189269903013673,0.0019531548,0.0019378958,0.0015106432,0.0015106432,1.8903648857917152e-05,2.22160362903396e-05,0.00082259846,0.00069975737,5289984,4501253,10929.977,9087.701,0.002075226977467537,0.0020447089336812496
5,0.001892118714749813,0.0018768596928566694,0.00010681315,9.155413e-05,0.16054016,0.10159457,0.002079121511756935,0.0020433057105813156,0.0019684138,0.0019531548,0.0015106432,0.0015106432,1.8903648857917152e-05,2.504483024614059e-05,0.0006790454,0.00052121177,5289984,3992840,10998.52,8158.593,0.0021057450212538242,0.0020599679555743933
6,0.0018768596928566694,0.0018616006709635258,9.155413e-05,7.629511e-05,0.13040361,0.043640804,0.0020297864957507434,0.001999691044229752,0.0019531548,0.0019378958,0.0015259022,0.0015259022,1.8903648857917152e-05,2.1916857087626662e-05,0.00045178502,0.0003794592,5289984,4562698,10737.538,9123.986,0.0020599679555743933,0.002029449911788106
7,0.0018616006709635258,0.0018616006709635258,7.629511e-05,7.629511e-05,0.08207828,0.07319753,0.0020246452201580383,0.0019857687832982875,0.0019378958,0.0019378958,0.0015106432,0.0015106432,1.8903648857917152e-05,2.0739328008441737e-05,0.0005443077,0.0003967429,5289984,4821757,10710.341,9574.895,0.0020447089336812496,0.002029449911788106
8,0.0018768596928566694,0.0018768596928566694,9.155413e-05,9.155413e-05,0.13394369,0.09777981,0.002069523479418841,0.0020370996749942694,0.0019684138,0.0019531548,0.0015106432,0.0015106432,1.8903648857917152e-05,2.296921160937456e-05,0.0006947256,0.0006117076,5289984,4353654,10947.746,8868.827,0.0020904859993606806,0.0020447089336812496
9,0.0018768596928566694,0.0018616006709635258,9.155413e-05,7.629511e-05,0.15782407,0.1491722,0.0020432992817771283,0.00199997784042003,0.0019531548,0.0019378958,0.0015259022,0.0015259022,1.8903648857917152e-05,2.1486449785307395e-05,0.0007420099,0.00055185886,5289984,4654096,10809.0205,9308.089,0.0020447089336812496,0.002029449911788106
10,0.0018768596928566694,0.0018768596928566694,9.155413e-05,9.155413e-05,0.108140685,0.08249027,0.0020685768201283783,0.002031289189565632,0.0019684138,0.0019531548,0.0015411612,0.0015411612,1.8903648857917152e-05,2.151518078883689e-05,0.00051113724,0.00041531472,5289984,4647881,10942.738,9441.19,0.0020904859993606806,0.0020599679555743933
11,0.0018768596928566694,0.0018768596928566694,9.155413e-05,9.155413e-05,0.2059205,0.104463264,0.0020678801172886343,0.0020339467024275493,0.0019531548,0.0019531548,0.0015411612,0.0015411612,1.8903648857917152e-05,2.0958042418239533e-05,0.0007712426,0.0005797273,5289984,4771438,10939.053,9704.851,0.002075226977467537,0.0020447089336812496
12,0.0019226367585361004,0.0019073777366429567,0.00015259022,0.0001373312,0.1298085,0.10778973,0.002230752958976341,0.002199814363910154,0.002044709,0.002014191,0.0015106432,0.0015106432,1.8903648857917152e-05,2.7258243233481844e-05,0.0007587085,0.00071766967,5289984,3668615,11800.647,8070.272,0.0022735942620784044,0.0022278171963989735
13,0.001892118714749813,0.0018768596928566694,9.155413e-05,9.155413e-05,0.10435645,0.10435645,0.0020898729620448756,0.0020476814955181716,0.0019684138,0.0019531548,0.0015106432,0.0015106432,1.8903648857917152e-05,2.2063843053706485e-05,0.0005683703,0.0004839412,5289984,4532302,11055.395,9280.711,0.0021057450212538242,0.0020599679555743933
14,0.0019073777366429567,0.001892118714749813,0.00012207218,9.155413e-05,0.16192874,0.13366903,0.002201994860121505,0.002132330456097129,0.0019989319,0.0019684138,0.0014953841,0.0014953841,1.8903648857917152e-05,2.359716060085922e-05,0.00096220797,0.0007401643,5289984,4237798,11648.518,9036.386,0.002166781108826399,0.0021057450212538242
15,0.001892118714749813,0.0018768596928566694,0.00010681315,9.155413e-05,0.15164416,0.11921874,0.0021396473402022576,0.002082085296850597,0.0019836728,0.0019684138,0.0015259022,0.0015259022,1.8903648857917152e-05,2.1922920764425938e-05,0.00082145527,0.00061486365,5289984,4561436,11318.7,9497.299,0.0021057450212538242,0.002075226977467537
16,0.0018768596928566694,0.0018768596928566694,9.155413e-05,7.629511e-05,0.10406653,0.06500343,0.0020785167426782387,0.002030412599075896,0.0019531548,0.0019378958,0.0015259022,0.0015259022,1.8903648857917152e-05,2.0849304769507808e-05,0.00065100065,0.000547197,5289984,4796323,10995.32,9738.515,0.0020599679555743933,0.0020447089336812496
17,0.0018768596928566694,0.0018768596928566694,9.155413e-05,9.155413e-05,0.1279469,0.08732738,0.002098150323446158,0.002043164292566612,0.0019684138,0.0019531548,0.0014801251,0.0014801251,1.8903648857917152e-05,2.1163152243061342e-05,0.0007106772,0.00054522743,5289984,4725194,11099.182,9654.348,0.002075226977467537,0.0020447089336812496
18,0.0018768596928566694,0.0018768596928566694,9.155413e-05,9.155413e-05,0.23909362,0.15657282,0.002101174168839641,0.002057187756253575,0.0019684138,0.0019531548,0.0015106432,0.0015106432,1.8903648857917152e-05,2.1360027101602387e-05,0.00073922914,0.00058996025,5289984,4681642,11115.178,9631.017,0.0020904859993606806,0.0020599679555743933
19,0.0018768596928566694,0.0018768596928566694,9.155413e-05,9.155413e-05,0.11854734,0.11854734,0.0021465785550461966,0.0021455703519629053,0.0019684138,0.0019684138,0.0015259022,0.0015259022,1.8903648857917152e-05,1.895830916148915e-05,0.0010260793,0.0010217458,5289984,5274732,11355.366,11317.309,0.0020904859993606806,0.0020904859993606806
20,0.001892118714749813,0.0018768596928566694,9.155413e-05,9.155413e-05,0.1900969,0.1900969,0.0020960675991647613,0.002056032680861547,0.0019684138,0.0019684138,0.0015259022,0.0015259022,1.8903648857917152e-05,2.1586709494698303e-05,0.0006547745,0.00058224495,5289984,4632480,11088.164,9524.53,0.0020904859993606806,0.0020599679555743933
21,0.0019073777366429567,0.001892118714749813,0.00010681315,0.00010681315,0.1292134,0.1292134,0.002142324311023436,0.0021035021290995307,0.0019989319,0.0019836728,0.0015259022,0.0015259022,1.8903648857917152e-05,2.387334521907614e-05,0.00072604016,0.0007174012,5289984,4188772,11332.861,8811.091,0.002151522086933255,0.0021057450212538242
22,0.001892118714749813,0.0018768596928566694,0.00010681315,9.155413e-05,0.11342031,0.11342031,0.002116522122574,0.002065058607627019,0.0019836728,0.0019684138,0.0014953841,0.0014953841,1.8903648857917152e-05,2.2251906265179974e-05,0.00070592796,0.0006105978,5289984,4493997,11196.368,9280.367,0.0021057450212538242,0.002075226977467537
23,0.0019226367585361004,0.0019073777366429567,0.0001373312,0.00010681315,0.1998169,0.1998169,0.002224459003857573,0.002170663672248191,0.00202945,0.0019989319,0.0015259022,0.0015259022,1.8903648857917152e-05,2.4509215219830505e-05,0.0008750251,0.000815497,5289984,4080098,11767.353,8856.5205,0.0022278171963989735,0.002151522086933255
24,0.001892118714749813,0.0018768596928566694,9.155413e-05,9.155413e-05,0.08014038,0.06958114,0.00215052321489772,0.0020794356834638933,0.0019684138,0.0019531548,0.0015259022,0.0015259022,1.8903648857917152e-05,2.1243085906614545e-05,0.0009549681,0.0007557339,5289984,4707414,11376.233,9788.765,0.0020904859993606806,0.0020599679555743933
25,0.0018768596928566694,0.0018768596928566694,9.155413e-05,9.155413e-05,0.11985961,0.04386969,0.002082429465701125,0.0020387480858076435,0.0019684138,0.0019531548,0.0015411612,0.0015411612,1.8903648857917152e-05,2.0689078731875333e-05,0.00068026467,0.00057201367,5289984,4833468,11016.019,9854.224,0.002075226977467537,0.0020447089336812496
